ID,Name,Strength,Generic Name,Manufactured by,Unit Price
4143,Clindaben,150 mg,Clindamycin,Benham Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
4144,Clindacap,150 mg,Clindamycin,Astra Biopharmaceuticals Ltd.,Unit Price : ৳ 8.00
4145,Clindacap,300 mg,Clindamycin,Astra Biopharmaceuticals Ltd.,Unit Price : ৳ 15.00
4146,Clindacin,75 mg/5 ml,Clindamycin,Incepta Pharmaceuticals Ltd.,100 ml bottle : ৳ 280.00
4147,Clindacin,300 mg/2 ml,Clindamycin,Incepta Pharmaceuticals Ltd.,2 ml ampoule : ৳ 40.00
4148,Clindacin,600 mg/4 ml,Clindamycin,Incepta Pharmaceuticals Ltd.,4 ml ampoule : ৳ 70.00
4149,Clindacin,300 mg,Clindamycin,Incepta Pharmaceuticals Ltd.,Unit Price : ৳ 15.00
4150,Clindacin,1%,Clindamycin (Lotion),Incepta Pharmaceuticals Ltd.,25 ml bottle : ৳ 125.00
4151,Clindacin,2%,Clindamycin (Vaginal Cream),Incepta Pharmaceuticals Ltd.,20 gm tube : ৳ 70.00
4152,Clindacin,150 mg,Clindamycin,Incepta Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
4153,Clindacin Plus,1.2%+0.025%,Clindamycin Phosphate + Tretinoin,Incepta Pharmaceuticals Ltd.,15 gm tube : ৳ 150.00
4154,Clindamet,150 mg,Clindamycin,Somatec Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
4155,Clindamet,300 mg,Clindamycin,Somatec Pharmaceuticals Ltd.,Unit Price : ৳ 15.00
4156,Clindaver,300 mg,Clindamycin,Veritas Pharmaceuticals Ltd.,Unit Price : ৳ 15.05
4157,Clindax,300 mg/2 ml,Clindamycin,Opsonin Pharma Ltd.,2 ml ampoule : ৳ 40.15
4158,Clindax,150 mg,Clindamycin,Opsonin Pharma Ltd.,Unit Price : ৳ 8.03
4159,Clindax,75 mg/5 ml,Clindamycin,Opsonin Pharma Ltd.,100 ml bottle : ৳ 250.94
4160,Clindax,300 mg,Clindamycin,Opsonin Pharma Ltd.,Unit Price : ৳ 15.06
4161,Clindax,1%,Clindamycin (Lotion),Opsonin Pharma Ltd.,25 ml bottle : ৳ 125.85
4162,Clindax,2%,Clindamycin (Vaginal Cream),Opsonin Pharma Ltd.,20 gm tube : ৳ 70.26
4163,Clindax,600 mg/4 ml,Clindamycin,Opsonin Pharma Ltd.,4 ml ampoule : ৳ 70.26
4164,Clindax Plus,1.2%+0.025%,Clindamycin Phosphate + Tretinoin,Opsonin Pharma Ltd.,10 gm tube : ৳ 120.45
4165,Clindax-B,1%+5%,Clindamycin + Benzoyl peroxide,Opsonin Pharma Ltd.,10 gm tube : ৳ 150.00
4166,Clinex,1%,Clindamycin (Lotion),Aristopharma Ltd.,25 ml bottle : ৳ 125.00
4167,Clinex,150 mg,Clindamycin,Aristopharma Ltd.,Unit Price : ৳ 8.00
4168,Clinex,1%,Clindamycin (Lotion),Aristopharma Ltd.,25 ml bottle : ৳ 125.00
4169,Clinex Plus,1.2%+0.025%,Clindamycin Phosphate + Tretinoin,Aristopharma Ltd.,15 gm tube : ৳ 150.00
4170,Clinface,1.2%+0.025%,Clindamycin Phosphate + Tretinoin,Square Pharmaceuticals Ltd.,15 gm tube : ৳ 151.02
4171,Clinorel,100 mg,Sulindac,Opsonin Pharma Ltd.,Unit Price : ৳ 5.00
4172,Clinorel,200 mg,Sulindac,Opsonin Pharma Ltd.,Unit Price : ৳ 9.54
4173,Clinosol Gold,7%+10%,Amino Acid + Glucose + Electrolytes,Opsonin Pharma Ltd.,500 ml bottle : ৳ 401.52
4174,Clinosol IV,5%,Amino Acid + D-Sorbitol + Electrolytes,Opsonin Pharma Ltd.,500 ml bottle : ৳ 352.38
4175,Clinosol Vit,5%,Amino Acid + D-Sorbitol + Electrolytes,Opsonin Pharma Ltd.,500 ml bottle : ৳ 475.00
4176,Clintrix,1.2%+0.025%,Clindamycin Phosphate + Tretinoin,The White Horse Pharma,15 gm tube : ৳ 150.00
4177,Cliomet,1%+0.02%,Clioquinol + Flumetasone Pivalate,Incepta Pharmaceuticals Ltd.,5 ml drop : ৳ 100.00
4178,Clioquin,0.025%+3%,Fluocinolone Acetonide + Clioquinol,ACME Laboratories Ltd.,30 gm tube : ৳ 180.00
4179,Clit,80 mg/5 ml,Chloroquine Phosphate,Hudson Pharmaceuticals Ltd.,60 ml bottle : ৳ 22.00
4180,Clit,250 mg,Chloroquine Phosphate,Hudson Pharmaceuticals Ltd.,Unit Price : ৳ 1.20
4181,Clix,500 mg,Clarithromycin,Eskayef Pharmaceuticals Ltd.,Unit Price : ৳ 40.00
4182,Clizin,50 mg,Meclizine Hydrochloride,Peoples Pharma Ltd.,Unit Price : ৳ 2.50
4183,Clob,10 mg,Clobazam,Opsonin Pharma Ltd.,Unit Price : ৳ 3.51
4184,Clobac,125 mg/5 ml,Cefaclor Monohydrate,Opsonin Pharma Ltd.,100 ml bottle : ৳ 180.68
4185,Clobac,125 mg/1.25 ml,Cefaclor Monohydrate,Opsonin Pharma Ltd.,15 ml bottle : ৳ 125.85
4186,Clobecort,0.05%,Clobetasone Butyrate,Opsonin Pharma Ltd.,25 gm tube : ৳ 75.00
4187,Clobecort,0.05%,Clobetasone Butyrate,Opsonin Pharma Ltd.,25 gm tube : ৳ 75.00
4188,Clobederm,0.05%,Clobetasol Propionate (Topical Preparation),Drug International Ltd.,10 gm tube : ৳ 50.00
4189,Clobederm,0.05%,Clobetasol Propionate (Topical Preparation),Drug International Ltd.,10 gm tube : ৳ 45.00
4190,Clobenate,0.05%,Clobetasol Propionate (Topical Preparation),Julphar Bangladesh Ltd.,10 gm tube : ৳ 45.00
4191,Clobenate,0.05%,Clobetasol Propionate (Topical Preparation),Julphar Bangladesh Ltd.,10 gm tube : ৳ 50.00
4192,Clobeon,(0.5 mg+5 mg+1 Lac IU)/gm,Clobetasol Propionate + Neomycin Sulphate + Nystatin,Julphar Bangladesh Ltd.,10 gm tube : ৳ 60.00
4193,Clobesol,0.05%,Clobetasol Propionate (Topical Preparation),Aristopharma Ltd.,10 gm tube : ৳ 68.00
4194,Clobesol,0.05%,Clobetasol Propionate (Topical Preparation),Aristopharma Ltd.,10 gm tube : ৳ 58.00
4195,Clobesol SA,0.05%+3%,Clobetasol Propionate + Salicylic Acid,Aristopharma Ltd.,10 gm tube : ৳ 70.00
4196,Clobex,500 mg,Cloxacillin Sodium,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 5.96
4197,Clobex,500 mg,Cloxacillin Sodium,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 5.96
4198,Clobid,10 mg,Clobazam,Medimet Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
4199,Clocard,75 mg,Clopidogrel Bisulphate,Aristopharma Ltd.,Unit Price : ৳ 11.00
4200,Clocef,125 mg/5 ml,Cefaclor Monohydrate,Amico Laboratories Ltd.,100 ml bottle : ৳ 175.00
4201,Clocef,500 mg,Cefaclor Monohydrate,Amico Laboratories Ltd.,Unit Price : ৳ 45.00
4202,Clodal,1%,Clotrimazole (Topical),Globe Pharmaceuticals Ltd.,10 gm tube : ৳ 25.00
4203,Cloderm,1%,Clotrimazole (Topical),General Pharmaceuticals Ltd.,10 gm tube : ৳ 35.20
4204,Clof,100 mg,Aceclofenac,Biopharma Laboratories Ltd.,Unit Price : ৳ 4.01
4205,Clofen TR,100 mg,Diclofenac Sodium,Cosmic Pharma Ltd.,Unit Price : ৳ 3.08
4206,Clofenac,1% w/w,Diclofenac Sodium,Square Pharmaceuticals Ltd.,20 gm tube : ৳ 40.00
4207,Clofenac,25 mg,Diclofenac Sodium,Square Pharmaceuticals Ltd.,Unit Price : ৳ 12.09
4208,Clofenac,50 mg,Diclofenac Sodium,Square Pharmaceuticals Ltd.,Unit Price : ৳ 1.51
4209,Clofenac,12.5 mg,Diclofenac Sodium,Square Pharmaceuticals Ltd.,Unit Price : ৳ 9.06
4210,Clofenac,50 mg,Diclofenac Sodium,Square Pharmaceuticals Ltd.,Unit Price : ৳ 15.10
4211,Clofenac DT,50 mg,Diclofenac Sodium,Square Pharmaceuticals Ltd.,Unit Price : ৳ 4.02
4212,Clofenac Plus,(75 mg+20 mg)/2 ml,Diclofenac Sodium + Lidocaine Hydrochloride,Square Pharmaceuticals Ltd.,2 ml ampoule : ৳ 15.10
4213,Clofenac SR,100 mg,Diclofenac Sodium,Square Pharmaceuticals Ltd.,Unit Price : ৳ 4.02
4214,Clofranil,25 mg,Clomipramine Hydrochloride,Sun Pharmaceutical Ltd.,Unit Price : ৳ 5.50
4215,Clogfree,75 mg,Clopidogrel Bisulphate,Asiatic Laboratories Ltd.,Unit Price : ৳ 12.00
4216,Clogfree Plus,75 mg+75 mg,Clopidogrel + Aspirin,Asiatic Laboratories Ltd.,Unit Price : ৳ 12.00
4217,Clognil,75 mg,Clopidogrel Bisulphate,Orion Pharma Ltd.,Unit Price : ৳ 12.00
4218,Clognil Plus,75 mg+75 mg,Clopidogrel + Aspirin,Orion Pharma Ltd.,Unit Price : ৳ 12.04
4219,Clogrel,75 mg,Clopidogrel Bisulphate,Ad-din Pharmaceuticals Ltd.,Unit Price : ৳ 9.00
4220,Clogrel Plus,75 mg+75 mg,Clopidogrel + Aspirin,Ad-din Pharmaceuticals Ltd.,Unit Price : ৳ 11.00
4221,Cloles,10 mg,Atorvastatin Calcium,Doctor’s Chemical Works Ltd.,Unit Price : ৳ 8.00
4222,Cloma,2 mg,Clonazepam,Biopharma Laboratories Ltd.,Unit Price : ৳ 6.00
4223,Cloma,0.5 mg,Clonazepam,Biopharma Laboratories Ltd.,Unit Price : ৳ 4.02
4224,Clon,0.5 mg,Clonazepam,Globe Pharmaceuticals Ltd.,Unit Price : ৳ 4.50
4225,Clon,2 mg,Clonazepam,Globe Pharmaceuticals Ltd.,Unit Price : ৳ 7.00
4226,Clonaben,2 mg,Clonazepam,Benham Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
4227,Clonaben,0.5 mg,Clonazepam,Benham Pharmaceuticals Ltd.,Unit Price : ৳ 6.00
4228,Clonac TR,100 mg,Diclofenac Sodium,Somatec Pharmaceuticals Ltd.,Unit Price : ৳ 3.01
4229,Clonapex,0.5 mg,Clonazepam,Legends Pharma,Unit Price : ৳ 5.50
4230,Clonapex,2 mg,Clonazepam,Legends Pharma,Unit Price : ৳ 8.00
4231,Clonapin,0.5 mg,Clonazepam,Popular Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
4232,Clonapin,2 mg,Clonazepam,Popular Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
4233,Clonapin,1 mg,Clonazepam,Popular Pharmaceuticals Ltd.,Unit Price : ৳ 7.00
4234,Clonate,0.05%,Clobetasol Propionate (Topical Preparation),Kemiko Pharmaceuticals Ltd.,10 gm tube : ৳ 50.14
4235,Clonate-NN,(0.5 mg+5 mg+1 Lac IU)/gm,Clobetasol Propionate + Neomycin Sulphate + Nystatin,Kemiko Pharmaceuticals Ltd.,15 gm tube : ৳ 75.22
4236,Clonatril,0.5 mg,Clonazepam,Healthcare Pharmaceuticals Ltd.,Unit Price : ৳ 6.00
4237,Clonatril,2 mg,Clonazepam,Healthcare Pharmaceuticals Ltd.,Unit Price : ৳ 10.00
4238,Clonatril,1 mg,Clonazepam,Healthcare Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
4239,Clonepam,2 mg,Clonazepam,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 10.00
4240,Clonepam,0.5 mg,Clonazepam,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 6.00
4241,Clonil,2 mg,Clonazepam,Julphar Bangladesh Ltd.,Unit Price : ৳ 10.00
4242,Clonil,0.5 mg,Clonazepam,Julphar Bangladesh Ltd.,Unit Price : ৳ 6.00
4243,Clonipres,0.1 mg,Clonidine Hydrochloride,Navana Pharmaceuticals Ltd.,Unit Price : ৳ 8.03
4244,Clonium,1 mg,Clonazepam,ACI Limited,Unit Price : ৳ 8.00
4245,Clonium,0.5 mg,Clonazepam,ACI Limited,Unit Price : ৳ 6.50
4246,Clonium,2 mg,Clonazepam,ACI Limited,Unit Price : ৳ 10.00
4247,Clont,75 mg,Clopidogrel Bisulphate,Opsonin Pharma Ltd.,Unit Price : ৳ 12.03
4248,Clontas,75 mg+75 mg,Clopidogrel + Aspirin,Opsonin Pharma Ltd.,Unit Price : ৳ 12.00
4249,Clonzy,2 mg,Clonazepam,Pharmasia Limited,Unit Price : ৳ 8.00
4250,Clonzy,0.5 mg,Clonazepam,Pharmasia Limited,Unit Price : ৳ 5.00
4251,Clopam,2 mg,Clonazepam,Sharif Pharmaceuticals Ltd.,Unit Price : ৳ 5.01
4252,Clopam,0.5 mg,Clonazepam,Sharif Pharmaceuticals Ltd.,Unit Price : ৳ 3.01
4253,Clopid,75 mg,Clopidogrel Bisulphate,Drug International Ltd.,Unit Price : ৳ 12.00
4254,Clopid-AS,75 mg+75 mg,Clopidogrel + Aspirin,Drug International Ltd.,Unit Price : ৳ 12.00
4255,Clopidol,75 mg,Clopidogrel Bisulphate,Alco Pharma Ltd.,Unit Price : ৳ 10.00
4256,Clopidol Plus,75 mg+75 mg,Clopidogrel + Aspirin,Alco Pharma Ltd.,Unit Price : ৳ 12.00
4257,Clopigel,75 mg,Clopidogrel Bisulphate,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 9.10
4258,Clopigel Plus,75 mg+75 mg,Clopidogrel + Aspirin,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 10.00
4259,Clopilet,75 mg,Clopidogrel Bisulphate,Sun Pharmaceutical Ltd.,Unit Price : ৳ 12.00
4260,Clopirel,75 mg,Clopidogrel Bisulphate,Novo Healthcare and Pharma Ltd.,Unit Price : ৳ 10.00
4261,Clopirox,1%,Ciclopirox Olamine (Cream),Square Pharmaceuticals Ltd.,15 gm tube : ৳ 110.00
4262,Clopirox,1%,Ciclopirox Olamine (Shampoo),Square Pharmaceuticals Ltd.,100 ml bottle : ৳ 350.00
4263,Clopitel A,75 mg+75 mg,Clopidogrel + Aspirin,Sun Pharmaceutical Ltd.,Unit Price : ৳ 12.00
4264,Clopixol,10 mg,Zuclopenthixol,Lundbeck Pharmaceuticals Ltd.,Unit Price : ৳ 15.93
4265,Clopixol Acuphase,50 mg/ml,Zuclopenthixol,Lundbeck Pharmaceuticals Ltd.,1 ml ampoule : ৳ 521.40
4266,Clopixol Depot,200 mg/ml,Zuclopenthixol,Lundbeck Pharmaceuticals Ltd.,1 ml ampoule : ৳ 433.31
4267,Cloplet,75 mg,Clopidogrel Bisulphate,Nuvista Pharma Ltd.,Unit Price : ৳ 12.00
4268,Cloradex,0.1%+0.5%,Dexamethasone + Chloramphenicol,Navana Pharmaceuticals Ltd.,5 ml drop : ৳ 70.00
4269,Cloram,0.50%,Chloramphenicol (Ophthalmic),Ibn Sina Pharmaceuticals Ltd.,10 ml drop : ৳ 34.40
4270,Cloram,1%,Chloramphenicol (Ophthalmic),Ibn Sina Pharmaceuticals Ltd.,5 gm tube : ৳ 13.00
4271,Cloram-D,0.1%+0.5%,Dexamethasone + Chloramphenicol,Ibn Sina Pharmaceuticals Ltd.,5 ml drop : ৳ 70.00
4272,Cloramin,2 mg/5 ml,Chlorpheniramine Maleate,Orion Pharma Ltd.,100 ml bottle : ৳ 21.85
4273,Clorel,75 mg,Clopidogrel Bisulphate,ACI Limited,Unit Price : ৳ 12.04
4274,Clorel-A,75 mg+75 mg,Clopidogrel + Aspirin,ACI Limited,Unit Price : ৳ 12.04
4275,Clori HC,1%+1%,Clotrimazole + Hydrocortisone,Amulet Pharmaceuticals Ltd.,10 gm tube : ৳ 35.00
4276,Clorocef,500 mg,Cefaclor Monohydrate,Ibn Sina Pharmaceuticals Ltd.,Unit Price : ৳ 40.00
4277,Clorocef,125 mg/1.25 ml,Cefaclor Monohydrate,Ibn Sina Pharmaceuticals Ltd.,15 ml bottle : ৳ 130.00
4278,Clorocef,250 mg,Cefaclor Monohydrate,Ibn Sina Pharmaceuticals Ltd.,Unit Price : ৳ 22.00
4279,Clorocef,125 mg/5 ml,Cefaclor Monohydrate,Ibn Sina Pharmaceuticals Ltd.,100 ml bottle : ৳ 205.00
4280,Cloron,1 mg,Clonazepam,Eskayef Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
4281,Cloron,0.5 mg,Clonazepam,Eskayef Pharmaceuticals Ltd.,Unit Price : ৳ 6.00
4282,Cloron,2 mg,Clonazepam,Eskayef Pharmaceuticals Ltd.,Unit Price : ৳ 10.00
4283,Cloron,2.5 mg/ml,Clonazepam,Eskayef Pharmaceuticals Ltd.,10 ml drop : ৳ 80.00
4284,Closalic,0.05%+3%,Clobetasol Propionate + Salicylic Acid,Ziska Pharmaceuticals Ltd.,10 gm tube : ৳ 70.00
4285,Closon,0.05%+1%,Betamethasone + Clotrimazole,Medicon Pharmaceuticals Ltd.,10 gm tube : ৳ 28.00
4286,Closten,1%,Clotrimazole (Topical),Alco Pharma Ltd.,10 gm tube : ৳ 25.00
4287,Clotech-D,500 mg/100 ml,Sodium Hypochlorite,Opso Saline Ltd.,4 Liter Pack : ৳ 170.00
4288,Clotinex,4000 Anti-Xa IU/0.4 ml,Enoxaparin Sodium,Square Pharmaceuticals Ltd.,0.4 ml pre-filled syringe : ৳ 451.36
4289,Clotinex,6000 Anti-Xa IU/0.6 ml,Enoxaparin Sodium,Square Pharmaceuticals Ltd.,0.6 ml pre-filled syringe : ৳ 576.73
4290,Clotinil,75 mg,Clopidogrel Bisulphate,Rephco Pharmaceuticals Ltd.,Unit Price : ৳ 11.00
4291,Clotison,1%+1%,Clotrimazole + Hydrocortisone,Biopharma Laboratories Ltd.,10 gm tube : ৳ 30.00
4292,Clotrim,1%,Clotrimazole (Topical),ACME Laboratories Ltd.,5 gm tube : ৳ 18.37
4293,Clotrim,200 mg,Clotrimazole (Vaginal suppository),ACME Laboratories Ltd.,Unit Price : ৳ 20.13
4294,Clotrimazole,1%,Clotrimazole (Topical),Amico Laboratories Ltd.,10 gm tube : ৳ 35.00
4295,Clotrizole,1%,Clotrimazole (Topical),Reman Drug Laboratories Ltd.,10 gm tube : ৳ 30.11
4296,Clotzol,1%,Clotrimazole (Topical),Sharif Pharmaceuticals Ltd.,10 gm tube : ৳ 29.08
4297,Clovate,0.05%,Clobetasol Propionate (Topical Preparation),ACI Limited,10 gm tube : ৳ 58.17
4298,Clovate,0.05%,Clobetasol Propionate (Topical Preparation),ACI Limited,10 gm tube : ৳ 68.20
4299,Clovate,0.05%,Clobetasol Propionate (Scalp Preparation),ACI Limited,30 ml bottle : ৳ 200.60
4300,Clovate N,(0.5 mg+5 mg+1 Lac IU)/gm,Clobetasol Propionate + Neomycin Sulphate + Nystatin,ACI Limited,15 gm tube : ৳ 70.21
4301,Clovate N,(0.5 mg+5 mg+1 Lac IU)/gm,Clobetasol Propionate + Neomycin Sulphate + Nystatin,ACI Limited,10 gm tube : ৳ 65.20
4302,Clovcare,3 gm/100 ml,Clove oil,The White Horse Pharma,100 ml bottle : ৳ 75.00
4303,Clovir,5% w/w,Acyclovir (Topical),Ibn Sina Pharmaceuticals Ltd.,5 gm tube : ৳ 40.00
4304,Clovir,400 mg,Acyclovir (Oral),Ibn Sina Pharmaceuticals Ltd.,Unit Price : ৳ 22.00
4305,Clovir,3%,Acyclovir (Ophthalmic),Ibn Sina Pharmaceuticals Ltd.,5 gm tube : ৳ 100.00
4306,Clovir,200 mg,Acyclovir (Oral),Ibn Sina Pharmaceuticals Ltd.,Unit Price : ৳ 14.00
4307,Clox-F,125 mg/5 ml,Flucloxacillin Sodium,Asiatic Laboratories Ltd.,100 ml bottle : ৳ 60.00
4308,Clox-F,250 mg,Flucloxacillin Sodium,Asiatic Laboratories Ltd.,Unit Price : ৳ 5.00
4309,Clox-F,500 mg,Flucloxacillin Sodium,Asiatic Laboratories Ltd.,Unit Price : ৳ 10.00
4310,Clox-F DS,250 mg/5 ml,Flucloxacillin Sodium,Asiatic Laboratories Ltd.,100 ml bottle : ৳ 110.00
4311,Cloxacin,500 mg,Cloxacillin Sodium,Pharmadesh Laboratories Ltd.,Unit Price : ৳ 10.53
4312,Cloxacin,125 mg/5 ml,Cloxacillin Sodium,Pharmadesh Laboratories Ltd.,100 ml bottle : ৳ 72.27
4313,Cloxafu,500 mg,Flucloxacillin Sodium,Sonear Laboratories Ltd.,Unit Price : ৳ 10.25
4314,Cloxafu,250 mg,Flucloxacillin Sodium,Sonear Laboratories Ltd.,Unit Price : ৳ 5.64
4315,Cloxakil,500 mg,Flucloxacillin Sodium,Veritas Pharmaceuticals Ltd.,Unit Price : ৳ 10.50
4316,Cloxil,500 mg,Cloxacillin Sodium,Doctor’s Chemical Works Ltd.,Unit Price : ৳ 5.50
4317,Cloxil,125 mg/5 ml,Cloxacillin Sodium,Doctor’s Chemical Works Ltd.,100 ml bottle : ৳ 42.65
4318,Cloxin,500 mg/vial,Cloxacillin Sodium,Opsonin Pharma Ltd.,500 mg vial : ৳ 25.31
4319,Cloxin,500 mg,Cloxacillin Sodium,Opsonin Pharma Ltd.,Unit Price : ৳ 5.92
4320,Cloxin,125 mg/5 ml,Cloxacillin Sodium,Opsonin Pharma Ltd.,100 ml bottle : ৳ 44.84
4321,Cloxmet,500 mg,Cloxacillin Sodium,Medimet Pharmaceuticals Ltd.,Unit Price : ৳ 5.75
4322,Cloxpen,500 mg,Cloxacillin Sodium,Drug International Ltd.,Unit Price : ৳ 5.92
4323,Clozam,10 mg,Clobazam,Navana Pharmaceuticals Ltd.,Unit Price : ৳ 2.81
4324,Clozema,0.05%,Clobetasol Propionate (Topical Preparation),Team Pharmaceuticals Ltd.,10 gm tube : ৳ 65.00
4325,Clozema,0.05%,Clobetasol Propionate (Topical Preparation),Team Pharmaceuticals Ltd.,10 gm tube : ৳ 55.00
4326,Clozosone,0.05%+1%,Betamethasone + Clotrimazole,UniMed UniHealth,10 gm tube : ৳ 25.00
4327,Clozox,1%,Clotrimazole (Topical),UniMed UniHealth,10 gm tube : ৳ 25.00
4328,Clozyl,200 mg/5 ml,Metronidazole,Team Pharmaceuticals Ltd.,60 ml bottle : ৳ 29.90
4329,Clozyl,400 mg,Metronidazole,Team Pharmaceuticals Ltd.,Unit Price : ৳ 1.50
4330,CMC Luvis,0.50%,Carmellose Sodium,ZAS Corporation,10 ml drop : ৳ 950.00
4331,CMC-Gel,1%,Carboxymethylcellulose Sodium,Biopharma Laboratories Ltd.,10 ml drop : ৳ 250.00
4332,CNV,,Multivitamin & Cod Liver Oil,Delta Pharma Ltd.,100 ml bottle : ৳ 80.00
4333,Co-axet,500 mg+125 mg,Cefuroxime Axetil + Clavulanic Acid,Orion Pharma Ltd.,Unit Price : ৳ 50.15
4334,Co-axet,250 mg+62.5 mg,Cefuroxime Axetil + Clavulanic Acid,Orion Pharma Ltd.,Unit Price : ৳ 30.09
4335,Co-axet,(125 mg+31.25 mg)/5 ml,Cefuroxime Axetil + Clavulanic Acid,Orion Pharma Ltd.,70 ml bottle : ৳ 250.00
4336,Co-Diovan,160 mg+12.5 mg,Valsartan + Hydrochlorothiazide,Novartis (Bangladesh) Ltd.,Unit Price : ৳ 66.20
4337,Co-Diovan,80 mg+12.5 mg,Valsartan + Hydrochlorothiazide,Novartis (Bangladesh) Ltd.,Unit Price : ৳ 48.14
4338,Co-Diovan,160 mg+25 mg,Valsartan + Hydrochlorothiazide,Novartis (Bangladesh) Ltd.,Unit Price : ৳ 66.20
4339,Co-Disys,5 mg+80 mg,Amlodipine Besilate + Valsartan,Healthcare Pharmaceuticals Ltd.,Unit Price : ৳ 10.00
4340,Co-Disys,5 mg+160 mg,Amlodipine Besilate + Valsartan,Healthcare Pharmaceuticals Ltd.,Unit Price : ৳ 18.00
4341,Co-Disys,10 mg+160 mg,Amlodipine Besilate + Valsartan,Healthcare Pharmaceuticals Ltd.,Unit Price : ৳ 19.00
4342,Co-dopa,250 mg+25 mg,Levodopa + Carbidopa (FC tablet),UniMed UniHealth,Unit Price : ৳ 10.00
4343,Co-dopa,100 mg+10 mg,Levodopa + Carbidopa (FC tablet),UniMed UniHealth,Unit Price : ৳ 7.00
4344,Co-dopa CR,100 mg+25 mg,Levodopa + Carbidopa (CR tablet),UniMed UniHealth,Unit Price : ৳ 10.00
4345,Co-dopa CR,200 mg+50 mg,Levodopa + Carbidopa (CR tablet),UniMed UniHealth,Unit Price : ৳ 20.00
4346,Co-Try,(200 mg+40 mg)/5 ml,Sulphamethoxazole + Trimethoprim,Ad-din Pharmaceuticals Ltd.,60 ml bottle : ৳ 21.50
4347,Co-Try DS,800 mg+160 mg,Sulphamethoxazole + Trimethoprim,Ad-din Pharmaceuticals Ltd.,Unit Price : ৳ 2.00
4348,Co-Valtin,5 mg+80 mg,Amlodipine Besilate + Valsartan,ACME Laboratories Ltd.,Unit Price : ৳ 9.03
4349,Co-Valtin,5 mg+160 mg,Amlodipine Besilate + Valsartan,ACME Laboratories Ltd.,Unit Price : ৳ 16.04
4350,Cobesol,0.05%,Clobetasol Propionate (Topical Preparation),Pharmasia Limited,10 gm tube : ৳ 45.00
4351,Cobesol,0.05%,Clobetasol Propionate (Topical Preparation),Pharmasia Limited,10 gm tube : ৳ 50.00
4352,Cocci-off Vet,102 mg+102 mg+0.1 mg,Amprolium + Sulfaquinoxaline + Vitamin K,ACME Laboratories Ltd.,100 gm sachet : ৳ 216.45
4353,Coctreat-EP,,Amprolium + Ethopabate + Sulphaquinoxaline + Vitamin K3 + Vitamin C,Square Pharmaceuticals Ltd.,100 gm pack : ৳ 257.00
4354,Cod Liver Oil,600 IU+85 IU+0.3 IU,Cod Liver Oil,Drug International Ltd.,Unit Price : ৳ 2.00
4355,Cod Oil,600 IU+85 IU+0.3 IU,Cod Liver Oil,Rangs Pharmaceuticals Ltd.,Unit Price : ৳ 2.01
4356,Cod Plus,,Multivitamin & Cod Liver Oil,Apex Pharmaceuticals Ltd.,100 ml bottle : ৳ 80.00
4357,Codcap,600 IU+85 IU+0.3 IU,Cod Liver Oil,Incepta Pharmaceuticals Ltd.,Unit Price : ৳ 2.00
4358,Codex,(30 mg+100 mg+1.25 mg)/5 ml,Pseudoephedrine + Guaiphenasine + Triprolidine,Ambee Pharmaceuticals Ltd.,100 ml bottle : ৳ 49.97
4359,Codliv,600 IU+85 IU+0.3 IU,Cod Liver Oil,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 2.00
4360,Codlivit,,Multivitamin & Cod Liver Oil,Silva Pharmaceuticals Ltd.,100 ml bottle : ৳ 80.27
4361,Codmin,,Multivitamin & Multimineral,Globex Pharmaceuticals Ltd.,100 ml bottle : ৳ 80.00
4362,Codomix,,Multivitamin & Cod Liver Oil,Jayson Pharmaceuticals Ltd.,100 ml bottle : ৳ 85.00
4363,Codvit,600 IU+85 IU+0.3 IU,Cod Liver Oil,Opsonin Pharma Ltd.,Unit Price : ৳ 2.00
4364,Codvita,,Multivitamin & Cod Liver Oil,Amico Laboratories Ltd.,100 ml bottle : ৳ 80.00
4365,Codyl,(30 mg+100 mg+1.25 mg)/5 ml,Pseudoephedrine + Guaiphenasine + Triprolidine,Medimet Pharmaceuticals Ltd.,100 ml bottle : ৳ 50.00
4366,Cofdil,(30 mg+100 mg+1.25 mg)/5 ml,Pseudoephedrine + Guaiphenasine + Triprolidine,Central Pharmaceuticals Ltd.,100 ml bottle : ৳ 50.00
4367,Cofexin,15 mg/5 ml,Ambroxol Hydrochloride,Globex Pharmaceuticals Ltd.,100 ml bottle : ৳ 35.00
4368,Coflyt,4 mg/5 ml,Bromhexine Hydrochloride,Asiatic Laboratories Ltd.,100 ml bottle : ৳ 30.00
